2022-05-15 03:22:18+00:00,b'not only that but there was the incredible #racial abuse he suffered at the hands of the indian cricket supporters\xe2\x80\xa6 https://t.co/ZsvqFqVtfl',b'greghoey',b'world'
2022-05-15 02:43:04+00:00,b'10 people dead after #racial shooting at supermarket in #NewYork\n\nRead HERE | https://t.co/4TxktfpkuS',b'dna',b'India'
2022-05-15 01:10:24+00:00,b'#Genocide in #Kashmir continues as the Western Biased (#Racial) media stays in support of #Terrorists \n\n@nytimes\xe2\x80\xa6 https://t.co/KFK21CV7P5',b'FoolishApathy',"b'Chennai, India'"
2022-05-15 00:03:14+00:00,"b'Make no mistake about it, the #satanicmurder of 11 #poorsouls merely shopping for #groceries in #Buffalo was an act\xe2\x80\xa6 https://t.co/8QrI7y2xHn'",b'GRJnTruth',"b'Washington, DC'"
2022-05-14 22:46:50+00:00,b'@qamin_zana Any Armenian lawyers in the area want to take the case pro bono? Fight against #hate and #racial attack',b'DArtsakh',b'Somewhere in the universe'
2022-05-14 22:18:21+00:00,b'@VAFFvancouver @PicturesRoaming @resoorg @DOCorg @kpassiton Nilesh Patel @PicturesRoaming &amp; @resoorg describes the\xe2\x80\xa6 https://t.co/4v3H3rVy1G',b'AntiracismMedia',b'Turtle Island'
2022-05-14 17:19:21+00:00,b'##ClarenceThomas bemoans #LackOfPrivacy at @SCOTUS.\n\nVery #Right they want to deny #women. Oh NO!\xf0\x9f\x99\x80\n\nAt conference o\xe2\x80\xa6 https://t.co/6a3AKDzGVk',b'truthjustice61',b'United States'
2022-05-14 16:12:19+00:00,"b""Black people among themselves call each other nigga (Nigger). White people can't say nigger because it's racist.\xe2\x80\xa6 https://t.co/r00VRsIOSH""",b'deplorable3316',b''
2022-05-14 15:11:30+00:00,"b'Every ethnic and #racial group defines its own identity and territory, but when #Jews mention their connection to t\xe2\x80\xa6 https://t.co/ExY3EaDooW'",b'elior_writes',b''
2022-05-14 11:01:57+00:00,b'You #AntiRacist\nYou #AntiRacists\nYou Non-Racist\nYou Non-Racists\n\nIf your #Family #Relatives\nare ALL of the SAME\xe2\x80\xa6 https://t.co/gKGpcuONg4',b'AC51114653',b'GB UK'
2022-05-13 17:36:35+00:00,"b'#Racial #prejudice, not populism or authoritarianism, predicts support for Trump over Clinton - The Washington Post https://t.co/0DebMNVT5D'",b'BJamma3',b''
2022-05-13 12:52:33+00:00,"b'@emilykschrader Israel is a #Racial  State,terrorist state, stolen Land'",b'Comrade31506295',b''
2022-05-13 10:40:05+00:00,"b'The fact that some #people have dark #skin and some people have light skin is down to their #genes, and the same is\xe2\x80\xa6 https://t.co/cmbG6Yz6YN'",b'_k3rnel_pan1c',b''
2022-05-13 10:30:03+00:00,"b'If they received the wrong kind of blood, a #White person might acquire #Blackness, and an #Aryan might become some\xe2\x80\xa6 https://t.co/dRcq78Nzox'",b'_k3rnel_pan1c',b''
2022-05-13 10:23:51+00:00,"b'In the past, the #racial essence was supposed to be located in a person\xe2\x80\x99s #blood, and passed down the \xe2\x80\x9c#bloodline\xe2\x80\x9d\xe2\x80\xa6 https://t.co/IuxXGEhQmA'",b'_k3rnel_pan1c',b''
2022-05-13 09:40:29+00:00,"b'In #Boston, public transportation with its fare-free policy has the potential to solve critical challenges such as\xe2\x80\xa6 https://t.co/RaI4A6XPjE'",b'netzerocitybook',b''
2022-05-13 01:54:04+00:00,"b'Delaware state women\'s lacrosse team accuses Georgia state lawmakers of ""humiliating"" racial profiling in drug sear\xe2\x80\xa6 https://t.co/pqI1SvrIOI'",b'NowMyNews',b''
2022-05-13 00:31:14+00:00,b'Cases hit emotional chords when two lawyers force their clients to reckon #interracial relationships and family dra\xe2\x80\xa6 https://t.co/S0wffodANi',b'LaydenRobinson',"b'San Diego, CA'"
2022-05-12 21:19:09+00:00,"b'A #black #Palestinian from #ethnic, #racial and #gender minorities was shot dead in #Khuzestan.\n\n P.S.: Attempts to\xe2\x80\xa6 https://t.co/ncwrMOQ86F'",b'missedneutrino',b''
2022-05-12 21:00:06+00:00,"b'Check out these articles from @GivingCompass to expand your #philanthropy toolbox:\n\n1) ""Overview: #Women and #Girls\xe2\x80\xa6 https://t.co/Y4gxwlHaRg'",b'NEIDonors',"b'Boston, MA'"
2022-05-12 20:46:29+00:00,b'@KobreKimLLP GET IT NOW!!!\n#KIMBERLYBERNICEBROWN\n#PAY\n#RACIAL\n#DISCRIMINATION\n#WORKPLACE\n#STRICTLY\n#EMPLOYMENT\n#WON\n#FEDERAL',b'Kbbrown80',b'New York'
2022-05-12 20:37:50+00:00,b'ADAM SILVER - YOU BETTER WAKE YOUR RACIST HATEFUL SELF UP! FOLLOW MY INSTRUCTIONS! I AM REPORTING EVERY CRIME YOU A\xe2\x80\xa6 https://t.co/MULKEap9ap',b'Kbbrown80',b'New York'
2022-05-12 20:00:00+00:00,b'How has research been used to examine #ComplexeIssues &amp; #Solutions for #Racial #Education #Inequities? Read this\xe2\x80\xa6 https://t.co/cZQpREp9nh',b'WaterlooEIPs',b'Waterloo Iowa'
2022-05-12 16:08:00+00:00,b'Which deeply concerns me especially within the Psychedelic-Assisted Therapy space and #racial trauma. Some of these\xe2\x80\xa6 https://t.co/BYMOCYNa7T',b'gerald_joseph90',"b'Washington, DC'"
2022-05-12 16:00:17+00:00,b'**TOMORROW** come and join our See Her Be Her open house for black girls.While Black girls experience barriers perp\xe2\x80\xa6 https://t.co/lVGjithHu1',b'Iraisegirls',"b'Bronx, NY'"
2022-05-12 14:29:59+00:00,b'HCPs advocate against institutional racism in the treatment of #SCD.Emphasising that new treatments have the potent\xe2\x80\xa6 https://t.co/QYzl96sj59',b'CREATION',b'London and worldwide'
2022-05-12 14:16:00+00:00,b'CA | Stigmabase | #Inequality #Racial\n[2022.05.12] https://t.co/EyNS77SnUj\n\nExclusion is a useful concept because i\xe2\x80\xa6 https://t.co/QARXXuC84h',b'StigmabaseO',b'Americas | United Kingdom'
2022-05-12 14:02:07+00:00,b'Why do we (sometimes) struggle to ally with other women across #racial and other divides? Join Saundra Gilliard and\xe2\x80\xa6 https://t.co/l82T0KGhTe',b'InPowerWomen',b''
